,venue_id,venue_name,event_id,event_name,avg_price,season,genre,subgenre,ticket_limit,age_restriction,venue_size,promoter
0,KovZpa2gne,TD Garden,vvG17Z9ww45oYO,Kiss 108s Jingle Ball Presented By Capital One,277.5,fall,Rock,Pop,8.0,False,19580,PROMOTED BY VENUE
1,KovZpa2gne,TD Garden,vvG17Z9xCMa7kG,Madonna - The Celebration Tour,311.5,winter,Rock,Pop,8.0,False,19580,LIVE NATION MUSIC
2,KovZpa2gne,TD Garden,vvG17Z9cp1VomN,Doja Cat - The Scarlet Tour,139.5,fall,Hip-Hop/Rap,French Rap,4.0,False,19580,LIVE NATION MUSIC
4,KovZpa2gne,TD Garden,vvG17Z9UrBEUDT,Melanie Martinez: The Trilogy Tour,89.5,spring,Rock,Pop,68.0,False,19580,LIVE NATION MUSIC
5,KovZpa2gne,TD Garden,vvG17Z9NkmJwWQ,Madonna - The Celebration Tour,321.5,winter,Rock,Pop,8.0,False,19580,LIVE NATION MUSIC
6,KovZpa2gne,TD Garden,vvG17Z9s65cKz_,Travis Scott Utopia Tour Presents Circus Maximus,166.5,winter,Hip-Hop/Rap,French Rap,8.0,False,19580,LIVE NATION MUSIC
7,KovZpa2gne,TD Garden,vvG17Z9Uh61Ani,AJR - The Maybe Man Tour,107.0,spring,Pop,Pop,6.0,False,19580,LIVE NATION MUSIC
8,KovZpa2gne,TD Garden,vvG17Z9sUgH-wp,Travis Scott Utopia Tour Presents Circus Maximus,166.5,winter,Hip-Hop/Rap,French Rap,8.0,False,19580,LIVE NATION MUSIC
10,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9U7iJtRz,TATE MCRAE: THINK LATER TOUR ,56.5,summer,Pop,Pop,6.0,False,5000,LIVE NATION MUSIC
11,KovZpa2gne,TD Garden,vvG17Z9JXfo3y-,Andrea Bocelli,232.5,fall,Classical,Classical/Vocal,8.0,False,19580,GELB PRODUCTIONS
12,KovZpa2gne,TD Garden,vvG17Z9cRu74h5,Playboi Carti,258.0,winter,Hip-Hop/Rap,French Rap,8.0,False,19580,AEG LIVE
13,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9YLcb4LW,Westlife: The Hits Tour - A St Patrick's Day Special,81.5,winter,Rock,Pop,6.0,False,5000,LIVE NATION MUSIC
14,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9SEuB7Fa,Mitski,61.5,winter,Rock,Alternative Rock,4.0,False,5000,LIVE NATION MUSIC
15,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9SEuBVF2,Mitski,61.5,winter,Rock,Alternative Rock,4.0,False,5000,LIVE NATION MUSIC
